YEAR,STATE,State ANSI,"CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $",1000ACRES_PLANTED,1000ACRES_HARVESTED,YIELD_CORN,
2023,LOUISIANA,22,"2,928,083,000","3,214","3,136",175,
2023,MAINE,23,"339,729,000",242,234,(NA),
2023,MARYLAND,24,"781,641,000","1,526","1,343",165,
2023,MASSACHUSETTS,25,"88,070,000",68,65,(NA),
2023,MICHIGAN,26,"4,775,343,000","6,270","6,160",168,
2023,MINNESOTA,27,"13,570,222,000","19,444","19,117",185,
2023,MISSISSIPPI,28,"3,101,249,000","4,209","4,112",181,
2023,MISSOURI,29,"7,504,636,000","14,657","14,284",153,
2023,MONTANA,30,"3,128,276,000","9,707","9,214",129,
2023,NEBRASKA,31,"12,897,739,000","19,473","18,763",182,
2023,NEVADA,32,"268,812,000",393,391,(NA),
2023,NEW HAMPSHIRE,33,"19,540,000",54,53,(NA),
2023,NEW JERSEY,34,"355,908,000",305,298,168,
2023,NEW MEXICO,35,"712,849,000",855,509,155,
2023,NEW YORK,36,"1,666,278,000","2,730","2,659",159,
2023,NORTH CAROLINA,37,"3,479,298,000","4,397","4,237",147,
2023,NORTH DAKOTA,38,"10,467,852,000","24,077","23,512",143,
2023,OHIO,39,"7,154,767,000","9,850","9,705",198,
2023,OKLAHOMA,40,"1,963,751,000","10,724","7,914",149,
2023,OREGON,41,"2,265,915,000","1,852","1,803",214,
2023,PENNSYLVANIA,42,"1,782,068,000","3,395","3,111",157,
2023,RHODE ISLAND,44,"2,450,000",8,7,(NA),
2023,SOUTH CAROLINA,45,"983,677,000","1,423","1,385",150,
2023,SOUTH DAKOTA,46,"7,978,240,000","17,222","16,420",152,
2023,TENNESSEE,47,"2,859,712,000","5,000","4,865",173,
2023,TEXAS,48,"6,140,819,000","22,135","13,559",122,
2023,UTAH,49,"584,661,000",856,834,185,
2023,VERMONT,50,"128,630,000",254,245,(NA),
2023,VIRGINIA,51,"1,308,593,000","2,583","2,458",157,
2023,WASHINGTON,53,"6,827,281,000","3,807","3,733",240,
2023,WEST VIRGINIA,54,"175,974,000",654,649,145,
2023,WISCONSIN,55,"5,044,544,000","7,875","7,400",176,
2023,WYOMING,56,"675,730,000","1,416","1,360",153,
2022,ALABAMA,1,"1,338,590,000","2,120","2,041",118,
2022,ALASKA,2,"9,776,000",26,25,,
2022,ARIZONA,4,"2,834,648,000",599,594,220,
2022,ARKANSAS,5,"5,483,823,000","6,992","6,845",173,
2022,CALIFORNIA,6,"34,141,726,000","2,202","1,795",177,
2022,COLORADO,8,"2,470,632,000","5,664","4,721",121,
2022,CONNECTICUT,9,"16,540,000",77,75,(NA),
2022,DELAWARE,10,"314,553,000",442,409,170,
2022,FLORIDA,12,"4,081,630,000","1,068","1,054",164,
2022,GEORGIA,13,"3,965,762,000","3,396","3,206",175,
2022,HAWAII,15,"94,187,000",,,,
2022,IDAHO,16,"5,074,871,000","4,071","3,932",216,
2022,ILLINOIS,17,"24,858,626,000","22,805","22,535",214,
2022,INDIANA,18,"11,691,131,000","11,910","11,820",190,
2022,IOWA,19,"25,308,442,000","24,330","24,070",200,
2022,KANSAS,20,"9,361,777,000","24,101","21,906",115,
2022,KENTUCKY,21,"4,029,760,000","5,994","5,809",156,
2022,LOUISIANA,22,"2,969,936,000","3,218","3,141",170,
2022,MAINE,23,"400,183,000",252,244,(NA),
2022,MARYLAND,24,"870,901,000","1,558","1,331",165,
2022,MASSACHUSETTS,25,"98,528,000",74,71,(NA),
2022,MICHIGAN,26,"5,684,996,000","6,308","6,210",168,
2022,MINNESOTA,27,"17,076,294,000","19,100","18,815",195,
2022,MISSISSIPPI,28,"3,401,884,000","4,210","4,148",165,
2022,MISSOURI,29,"8,914,998,000","13,820","13,417",161,
2022,MONTANA,30,"2,879,936,000","9,396","8,571",112,
2022,NEBRASKA,31,"15,093,745,000","19,299","18,442",165,
2022,NEVADA,32,"459,892,000",414,411,(NA),
2022,NEW HAMPSHIRE,33,"20,818,000",55,53,(NA),
2022,NEW JERSEY,34,"349,523,000",321,312,114,
2022,NEW MEXICO,35,"635,329,000",771,456,149,
2022,NEW YORK,36,"1,867,869,000","2,837","2,736",142,
2022,NORTH CAROLINA,37,"3,691,863,000","4,425","4,250",126,
2022,NORTH DAKOTA,38,"11,064,283,000","21,616","21,144",130,
2022,OHIO,39,"8,470,004,000","9,890","9,740",187,
2022,OKLAHOMA,40,"1,613,553,000","9,666","6,762",122,
2022,OREGON,41,"2,538,474,000","1,733","1,692",237,
2022,PENNSYLVANIA,42,"2,037,697,000","3,723","3,398",140,
2022,RHODE ISLAND,44,"2,620,000",9,9,(NA),
2022,SOUTH CAROLINA,45,"1,122,196,000","1,462","1,407",122,
2022,SOUTH DAKOTA,46,"8,782,862,000","16,627","15,993",132,
2022,TENNESSEE,47,"2,899,876,000","4,960","4,830",130,
2022,TEXAS,48,"5,306,275,000","22,030","11,080",95,
2022,UTAH,49,"804,575,000",880,851,165,
2022,VERMONT,50,"165,374,000",255,247,(NA),
2022,VIRGINIA,51,"1,447,289,000","2,493","2,363",167,
2022,WASHINGTON,53,"8,290,892,000","3,585","3,514",220,
2022,WEST VIRGINIA,54,"182,886,000",611,610,168,
2022,WISCONSIN,55,"6,307,072,000","7,966","7,555",180,
2022,WYOMING,56,"698,775,000","1,442","1,395",153,
2021,ALABAMA,1,"1,261,221,000","2,125","2,043",163,
2021,ALASKA,2,"11,293,000",25,24,,
2021,ARIZONA,4,"2,068,258,000",607,602,181,
2021,ARKANSAS,5,"5,115,756,000","7,020","6,872",184,
2021,CALIFORNIA,6,"33,926,189,000","2,391","1,983",188,
2021,COLORADO,8,"2,951,171,000","6,235","5,760",129,
2021,CONNECTICUT,9,"14,955,000",70,68,(NA),
2021,DELAWARE,10,"339,121,000",422,388,184,
2021,FLORIDA,12,"3,830,978,000","1,077","1,063",176,
2021,GEORGIA,13,"3,538,193,000","3,393","3,193",182,
2021,HAWAII,15,"140,340,000",,,,
2021,IDAHO,16,"3,739,858,000","4,051","3,885",210,
2021,ILLINOIS,17,"22,899,503,000","22,830","22,565",202,
2021,INDIANA,18,"11,247,514,000","11,930","11,830",195,
2021,IOWA,19,"24,638,346,000","24,390","24,132",204,
2021,KANSAS,20,"11,952,479,000","24,421","23,781",139,
2021,KENTUCKY,21,"4,207,778,000","6,078","5,888",192,
2021,LOUISIANA,22,"2,590,595,000","3,055","3,010",183,
2021,MAINE,23,"378,314,000",238,227,(NA),
2021,MARYLAND,24,"996,648,000","1,537","1,322",175,
2021,MASSACHUSETTS,25,"76,123,000",69,66,(NA),
2021,MICHIGAN,26,"5,519,738,000","6,376","6,242",174,
2021,MINNESOTA,27,"15,064,213,000","19,471","19,029",177,
2021,MISSISSIPPI,28,"2,997,225,000","4,233","4,114",181,
2021,MISSOURI,29,"8,732,524,000","13,644","13,299",159,
2021,MONTANA,30,"2,157,120,000","9,364","7,956",100,
2021,NEBRASKA,31,"17,127,735,000","19,810","19,451",194,
2021,NEVADA,32,"307,035,000",355,354,(NA),
2021,NEW HAMPSHIRE,33,"17,691,000",55,53,(NA),
2021,NEW JERSEY,34,"423,887,000",299,290,163,
2021,NEW MEXICO,35,"638,404,000",785,473,184,
2021,NEW YORK,36,"1,944,749,000","2,744","2,664",167,
2021,NORTH CAROLINA,37,"3,449,562,000","4,398","4,227",149,
2021,NORTH DAKOTA,38,"8,867,838,000","24,085","22,789",105,
2021,OHIO,39,"8,301,606,000","9,945","9,785",193,
2021,OKLAHOMA,40,"2,333,809,000","9,553","7,679",150,
2021,OREGON,41,"2,162,638,000","1,815","1,770",240,
2021,PENNSYLVANIA,42,"2,287,656,000","3,740","3,384",169,
2021,RHODE ISLAND,44,"2,086,000",9,9,(NA),
2021,SOUTH CAROLINA,45,"1,064,475,000","1,476","1,427",139,
2021,SOUTH DAKOTA,46,"8,558,707,000","16,693","15,934",134,
2021,TENNESSEE,47,"2,903,680,000","4,952","4,822",170,
2021,TEXAS,48,"9,144,945,000","22,797","17,841",128,
2021,UTAH,49,"585,780,000",868,839,179,
2021,VERMONT,50,"113,869,000",245,237,(NA),
2021,VIRGINIA,51,"1,342,988,000","2,495","2,346",160,
2021,WASHINGTON,53,"6,802,490,000","3,715","3,595",248,
2021,WEST VIRGINIA,54,"143,905,000",569,567,144,
2021,WISCONSIN,55,"6,105,820,000","8,099","7,581",180,
2021,WYOMING,56,"596,006,000","1,282","1,244",132,
2020,ALABAMA,1,"1,031,125,000","2,130","2,049",158,
2020,ALASKA,2,"9,977,000",28,27,,
2020,ARIZONA,4,"2,023,083,000",579,571,202,
2020,ARKANSAS,5,"4,198,564,000","6,891","6,763",184,
2020,CALIFORNIA,6,"32,729,764,000","2,660","2,223",187,
2020,COLORADO,8,"1,915,844,000","5,746","5,029",116,
2020,CONNECTICUT,9,"15,270,000",70,68,(NA),
2020,DELAWARE,10,"274,913,000",440,412,160,
2020,FLORIDA,12,"3,588,841,000","1,097","1,079",138,
2020,GEORGIA,13,"2,916,535,000","3,368","3,178",180,
2020,HAWAII,15,"105,673,000",,,,
2020,IDAHO,16,"3,411,433,000","4,112","3,961",199,
2020,ILLINOIS,17,"16,624,110,000","22,720","22,485",191,
2020,INDIANA,18,"8,713,683,000","11,950","11,860",187,
2020,IOWA,19,"16,663,770,000","24,380","23,763",177,
2020,KANSAS,20,"8,658,639,000","23,519","22,696",134,
2020,KENTUCKY,21,"3,327,444,000","6,074","5,879",184,
2020,LOUISIANA,22,"2,212,871,000","3,088","3,034",181,
2020,MAINE,23,"247,770,000",226,218,(NA),
2020,MARYLAND,24,"753,905,000","1,554","1,306",155,
2020,MASSACHUSETTS,25,"90,853,000",74,72,(NA),
2020,MICHIGAN,26,"4,459,141,000","6,359","6,250",153,
2020,MINNESOTA,27,"12,457,674,000","19,354","18,978",191,
2020,MISSISSIPPI,28,"2,427,822,000","4,009","3,939",180,
2020,MISSOURI,29,"7,121,901,000","13,408","13,141",171,
2020,MONTANA,30,"2,569,478,000","9,920","9,584",109,
2020,NEBRASKA,31,"12,138,589,000","19,780","19,471",180,
2020,NEVADA,32,"209,901,000",333,333,(NA),
2020,NEW HAMPSHIRE,33,"22,173,000",55,54,(NA),
2020,NEW JERSEY,34,"367,164,000",305,296,156,
2020,NEW MEXICO,35,"532,181,000",745,498,195,
2020,NEW YORK,36,"1,608,491,000","2,616","2,549",157,
2020,NORTH CAROLINA,37,"2,602,238,000","4,322","4,119",113,
2020,NORTH DAKOTA,38,"7,058,064,000","20,905","20,315",139,
2020,OHIO,39,"6,257,829,000","9,945","9,785",171,
2020,OKLAHOMA,40,"1,712,027,000","9,196","7,030",135,
2020,OREGON,41,"2,010,832,000","1,920","1,875",241,
2020,PENNSYLVANIA,42,"1,937,655,000","4,042","3,787",138,
2020,RHODE ISLAND,44,"1,440,000",7,7,(NA),
2020,SOUTH CAROLINA,45,"771,914,000","1,400","1,344",132,
2020,SOUTH DAKOTA,46,"6,709,936,000","15,531","15,134",162,
2020,TENNESSEE,47,"2,391,493,000","4,851","4,736",170,
2020,TEXAS,48,"5,577,348,000","21,876","14,548",128,
2020,UTAH,49,"508,791,000",946,921,149,
2020,VERMONT,50,"125,263,000",252,247,(NA),
2020,VIRGINIA,51,"1,108,215,000","2,636","2,490",122,
2020,WASHINGTON,53,"6,850,958,000","3,681","3,603",228,
2020,WEST VIRGINIA,54,"145,529,000",591,590,144,
2020,WISCONSIN,55,"4,582,428,000","8,110","7,608",173,
2020,WYOMING,56,"583,737,000","1,433","1,370",122,
2019,ALABAMA,1,"866,461,000","2,115","2,050",147,
2019,ALASKA,2,"11,138,000",28,27,,
2019,ARIZONA,4,"2,352,491,000",634,625,231,
2019,ARKANSAS,5,"3,499,255,000","6,598","6,417",175,
2019,CALIFORNIA,6,"32,676,117,000","2,941","2,542",168,
2019,COLORADO,8,"2,375,294,000","6,091","5,799",123,
2019,CONNECTICUT,9,"14,325,000",70,68,(NA),
2019,DELAWARE,10,"211,203,000",435,415,161,
2019,FLORIDA,12,"4,055,826,000","1,072","1,059",161,
2019,GEORGIA,13,"2,704,030,000","3,354","3,152",160,
2019,HAWAII,15,"110,042,000",,,,
2019,IDAHO,16,"3,337,129,000","4,107","3,956",205,
2019,ILLINOIS,17,"11,668,798,000","21,590","21,210",181,
2019,INDIANA,18,"5,895,488,000","11,250","11,070",169,
2019,IOWA,19,"13,624,884,000","23,935","23,619",198,
2019,KANSAS,20,"7,291,911,000","23,113","22,268",133,
2019,KENTUCKY,21,"2,630,675,000","5,712","5,552",169,
2019,LOUISIANA,22,"1,877,505,000","3,025","2,952",165,
2019,MAINE,23,"284,067,000",229,222,(NA),
2019,MARYLAND,24,"638,892,000","1,556","1,346",161,
2019,MASSACHUSETTS,25,"91,415,000",65,62,(NA),
2019,MICHIGAN,26,"3,070,841,000","5,541","5,345",149,
2019,MINNESOTA,27,"8,175,922,000","18,349","17,849",174,
2019,MISSISSIPPI,28,"2,012,255,000","3,822","3,720",174,
2019,MISSOURI,29,"5,167,755,000","12,827","12,367",155,
2019,MONTANA,30,"2,408,816,000","9,946","9,403",95,
2019,NEBRASKA,31,"9,722,643,000","19,176","18,777",182,
2019,NEVADA,32,"272,027,000",450,447,(NA),
2019,NEW HAMPSHIRE,33,"21,371,000",61,60,(NA),
2019,NEW JERSEY,34,"323,677,000",282,272,155,
2019,NEW MEXICO,35,"657,009,000",823,543,135,
2019,NEW YORK,36,"1,337,585,000","2,591","2,504",158,
2019,NORTH CAROLINA,37,"2,598,468,000","4,400","4,273",111,
2019,NORTH DAKOTA,38,"5,862,211,000","23,221","21,372",141,
2019,OHIO,39,"4,031,406,000","8,595","8,340",164,
2019,OKLAHOMA,40,"1,709,029,000","9,390","7,416",137,
2019,OREGON,41,"2,011,408,000","1,905","1,878",237,
2019,OTHER STATES,,"490,634,000",,,,
2019,PENNSYLVANIA,42,"1,676,318,000","3,686","3,495",153,
2019,RHODE ISLAND,44,"1,199,000",7,7,(NA),
2019,SOUTH CAROLINA,45,"667,948,000","1,428","1,015",106,
2019,SOUTH DAKOTA,46,"4,279,708,000","13,816","13,269",145,
2019,TENNESSEE,47,"2,096,384,000","4,836","4,716",177,
2019,TEXAS,48,"5,707,489,000","21,418","16,799",133,
2019,UTAH,49,"519,914,000",907,887,143,
2019,VERMONT,50,"124,422,000",241,237,(NA),
2019,VIRGINIA,51,"954,392,000","2,609","2,474",144,
2019,WASHINGTON,53,"6,485,734,000","3,542","3,471",237,
2019,WEST VIRGINIA,54,"125,785,000",567,565,165,
2019,WISCONSIN,55,"3,375,392,000","7,624","7,086",168,
2019,WYOMING,56,"545,670,000","1,504","1,456",123,
2018,ALABAMA,1,"1,009,311,000","2,325","2,218",156,
2018,ALASKA,2,"15,991,000",28,27,,
2018,ARIZONA,4,"898,545,000",665,640,220,
2018,ARKANSAS,5,"3,764,450,000","7,282","7,099",181,
2018,CALIFORNIA,6,"32,446,009,000","2,946","2,515",173,
2018,COLORADO,8,"2,101,721,000","6,140","5,585",130,
2018,CONNECTICUT,9,"20,328,000",70,67,(NA),
2018,DELAWARE,10,"179,591,000",453,409,145,
2018,FLORIDA,12,"3,218,390,000","1,114","1,063",157,
2018,GEORGIA,13,"2,478,547,000","3,653","3,141",176,
2018,HAWAII,15,"101,246,000",,,,
2018,IDAHO,16,"3,316,639,000","4,177","4,064",213,
2018,ILLINOIS,17,"14,486,372,000","22,936","22,480",210,
2018,INDIANA,18,"7,051,845,000","12,120","11,950",189,
2018,IOWA,19,"14,027,745,000","24,241","23,829",196,
2018,KANSAS,20,"6,776,208,000","23,465","22,694",129,
2018,KENTUCKY,21,"2,837,166,000","5,693","5,503",175,
2018,LOUISIANA,22,"2,097,492,000","3,287","3,113",173,
2018,MAINE,23,"248,368,000",227,221,(NA),
2018,MARYLAND,24,"588,920,000","1,572","1,361",146,
2018,MASSACHUSETTS,25,"85,917,000",93,91,(NA),
2018,MICHIGAN,26,"3,597,539,000","6,390","6,264",153,
2018,MINNESOTA,27,"9,519,146,000","19,484","19,132",182,
2018,MISSISSIPPI,28,"2,384,248,000","4,144","4,059",185,
2018,MISSOURI,29,"5,256,306,000","13,782","13,393",140,
2018,MONTANA,30,"2,379,590,000","9,835","9,349",85,
2018,NEBRASKA,31,"10,211,181,000","19,742","19,341",192,
2018,NEVADA,32,"207,393,000",401,380,(NA),
2018,NEW HAMPSHIRE,33,"17,696,000",52,51,(NA),
2018,NEW JERSEY,34,"370,926,000",314,304,141,
2018,NEW MEXICO,35,"600,306,000",874,618,187,
2018,NEW YORK,36,"1,535,107,000","2,828","2,764",159,
2018,NORTH CAROLINA,37,"2,850,546,000","4,593","4,348",113,
2018,NORTH DAKOTA,38,"7,202,106,000","24,163","23,622",153,
2018,OHIO,39,"5,392,841,000","10,065","9,930",187,
2018,OKLAHOMA,40,"1,489,703,000","10,036","7,550",134,
2018,OREGON,41,"1,817,052,000","1,997","1,934",195,
2018,OTHER STATES,,"265,025,000",,,,
2018,PENNSYLVANIA,42,"1,523,597,000","3,443","3,321",140,
2018,RHODE ISLAND,44,"1,684,000",8,8,(NA),
2018,SOUTH CAROLINA,45,"770,148,000","1,498","1,368",127,
2018,SOUTH DAKOTA,46,"5,848,358,000","17,300","16,590",160,
2018,TENNESSEE,47,"2,130,550,000","4,896","4,754",168,
2018,TEXAS,48,"5,846,913,000","21,833","14,922",108,
2018,UTAH,49,"428,176,000",871,836,182,
2018,VERMONT,50,"118,116,000",255,249,(NA),
2018,VIRGINIA,51,"1,070,875,000","2,634","2,502",146,
2018,WASHINGTON,53,"6,695,236,000","3,697","3,607",220,
2018,WEST VIRGINIA,54,"150,152,000",617,609,152,
2018,WISCONSIN,55,"3,776,504,000","8,014","7,747",172,
2018,WYOMING,56,"528,097,000","1,474","1,417",164,
2017,ALABAMA,1,"1,043,656,000","2,280","2,180",167,
2017,ALASKA,2,,,,,
2017,ARIZONA,4,"2,576,661,000",700,685,195,
2017,ARKANSAS,5,"3,819,332,000","7,299","7,102",183,
2017,CALIFORNIA,6,"33,466,945,000","3,096","2,701",167,
2017,COLORADO,8, (D),"6,245","5,874",143,
2017,CONNECTICUT,9,"38,583,000",72,68,(NA),
2017,DELAWARE,10, (D),462,429,189,
2017,FLORIDA,12,"3,860,095,000","1,146","1,120",161,
2017,GEORGIA,13,"2,988,429,000","3,634","3,288",176,
2017,HAWAII,15,"117,220,000",,,,
2017,IDAHO,16,"3,028,601,000","4,205","4,070",203,
2017,ILLINOIS,17,"13,891,611,000","22,851","22,694",201,
2017,INDIANA,18,"6,844,995,000","12,130","12,030",180,
2017,IOWA,19,"14,243,839,000","24,491","24,280",202,
2017,KANSAS,20,"6,618,596,000","23,633","22,743",132,
2017,KENTUCKY,21,"2,925,760,000","5,956","5,761",178,
2017,LOUISIANA,22,"1,970,705,000","3,275","3,230",184,
2017,MAINE,23,"252,112,000",226,221,(NA),
2017,MARYLAND,24, (D),"1,633","1,370",172,
2017,MASSACHUSETTS,25,"101,104,000",93,90,(NA),
2017,MICHIGAN,26,"3,669,815,000","6,349","6,246",159,
2017,MINNESOTA,27,"10,069,272,000","19,691","19,426",194,
2017,MISSISSIPPI,28,"2,382,251,000","4,159","4,099",189,
2017,MISSOURI,29,"5,895,255,000","13,533","13,277",170,
2017,MONTANA,30,"1,888,119,000","9,079","8,294",70,
2017,NEBRASKA,31,"9,641,009,000","19,566","19,244",181,
2017,NEVADA,32,"226,561,000",426,409,(NA),
2017,NEW HAMPSHIRE,33,"17,040,000",59,58,(NA),
2017,NEW JERSEY,34,"472,279,000",310,302,167,
2017,NEW MEXICO,35,"647,185,000",906,669,134,
2017,NEW YORK,36,"1,701,224,000","2,800","2,739",161,
2017,NORTH CAROLINA,37,"3,162,348,000","4,428","4,296",142,
2017,NORTH DAKOTA,38,"6,874,196,000","23,617","22,714",139,
2017,OHIO,39,"5,084,587,000","10,010","9,890",177,
2017,OKLAHOMA,40,"1,699,571,000","9,827","7,879",126,
2017,OREGON,41, (D),"2,080","2,042",212,
2017,PENNSYLVANIA,42,"2,415,510,000","3,728","3,608",161,
2017,RHODE ISLAND,44,"1,650,000",8,8,(NA),
2017,SOUTH CAROLINA,45, (D),"1,544","1,492",136,
2017,SOUTH DAKOTA,46,"5,388,529,000","17,422","16,228",145,
2017,TENNESSEE,47,"2,210,339,000","4,841","4,701",171,
2017,TEXAS,48,"7,351,608,000","21,580","17,079",140,
2017,UTAH,49,"422,073,000",944,919,176,
2017,VERMONT,50,"125,033,000",267,261,(NA),
2017,VIRGINIA,51,"1,190,273,000","2,674","2,554",140,
2017,WASHINGTON,53,"6,733,639,000","3,634","3,554",225,
2017,WEST VIRGINIA,54,"179,414,000",652,646,152,
2017,WISCONSIN,55, (D),"7,781","7,545",174,
2017,WYOMING,56,"481,089,000","1,510","1,437",155,
2016,ALABAMA,1,"923,012,000","2,360","2,248",120,
2016,ARIZONA,4,"2,147,715,000",672,658,215,
